Student_ID,Student_Name,Age,Gender,Department,Attendance_Rate,CA_Score,MidSem_Score,Prev_CGPA,Study_Hours_Week
STU/CS/2019/00001,Michael Adebisi,27,Male,Computer Science,60.6,20.5,7,2.1,2.4
STU/S/2019/00002,Remi Ihejirika,23,Female,Statistics,83.6,21.1,13.9,3.36,22.4
STU/N/2024/00003,Peace Okeke,25,Female,Nursing,71.9,15,14.5,2.06,19.6
STU/M/2024/00004,Paul Oladele,17,Male,Microbiology,97.2,29.4,15.8,4.42,17.3
STU/AS/2019/00005,Aliyu Dada,26,Male,Agricultural Science,49,9.4,1.8,1.68,19.6
STU/ME/2020/00006,Oluwakemi Olaniran,19,Female,Mechanical Engineering,80,22.3,16.8,4.65,29.2
STU/A/2023/00007,Peace Bewaji,22,Female,Architecture,85.3,29.4,20,4.59,27.3
STU/AS/2019/00008,Oluwafemi Fasanya,23,Female,Agricultural Science,74.3,27.5,12.3,3.12,26.2
STU/BA/2020/00009,Kabir Olanubi,16,Male,Business Administration,100,26.8,17.5,4.82,28.9
STU/L/2020/00010,David Shuaibu,28,Male,Law,79.5,30,16.9,4.69,25.6
STU/ME/2023/00011,Monday Olanike,27,Male,Mechanical Engineering,92.1,21.5,12.9,2.94,14.5
STU/M/2020/00012,Daniel Afolabi,22,Male,Microbiology,100,27.4,17.3,4.98,27.4
STU/ME/2020/00013,Richard Ibrahim,27,Male,Mechanical Engineering,82.1,30,15.6,3.52,19.3
STU/M/2024/00014,Yetunde Olawal,17,Female,Mathematics,68.1,6.3,8.7,1.39,1
STU/S/2023/00015,Adebayo Saidu,19,Male,Statistics,36.5,13.5,8.3,1.76,13.5
STU/S/2022/00016,Patrick Shehu,18,Male,Statistics,56.9,9,12.4,2.63,17.6
STU/CE/2023/00017,Patience Olayode,19,Female,Chemical Engineering,77.2,13.5,5.4,2.19,10.3
STU/ME/2024/00018,Emmanuel Obi,25,Male,Mechanical Engineering,51,12.1,4.6,1.27,12.7
STU/B/2019/00019,Mercy Mohammed,19,Female,Biochemistry,75.6,25.6,18.3,3.68,27
STU/MC/2024/00020,Chinwe Adeyemi,20,Male,Mass Communication,57.1,10,8.8,1.53,8.5
STU/CE/2021/00021,Grace Onwudiwe,30,Female,Civil Engineering,53.4,12.2,5.6,1.54,7.1
STU/B/2019/00022,Miriam Unachukwu,16,Female,Biochemistry,25.5,8.8,1.8,1.01,4.4
STU/L/2024/00023,Nnamdi Alayi,16,Male,Law,82.7,25.2,19.5,4.34,29
